tenure,MonthlyCharges,Contract,InternetService,Churn
3,94,Two year,No,Yes
70,99,Month-to-month,No,Yes
2,118,Month-to-month,DSL,Yes
44,94,Two year,Fiber optic,Yes
2,62,One year,Fiber optic,No
35,91,One year,Fiber optic,Yes
30,110,Month-to-month,DSL,Yes
8,54,Month-to-month,DSL,No
22,41,Two year,Fiber optic,Yes
44,45,Month-to-month,DSL,No
58,90,Two year,Fiber optic,Yes
36,108,One year,DSL,No
69,69,One year,No,No
31,20,Two year,No,Yes
47,72,Month-to-month,Fiber optic,No
55,30,One year,DSL,Yes
62,61,Month-to-month,DSL,No
30,64,One year,No,No
55,35,Two year,No,No
16,77,Two year,DSL,Yes
12,43,Two year,DSL,No
17,61,One year,DSL,No
16,91,Month-to-month,DSL,Yes
12,113,Month-to-month,DSL,No
8,108,Month-to-month,DSL,Yes
3,114,One year,Fiber optic,Yes
16,102,One year,DSL,Yes
30,61,One year,No,No
23,38,One year,Fiber optic,No
5,47,One year,DSL,Yes
65,51,Month-to-month,No,Yes
30,30,One year,Fiber optic,Yes
21,51,One year,No,No
70,22,Month-to-month,DSL,No
22,114,One year,DSL,Yes
72,73,Month-to-month,DSL,Yes
32,26,Month-to-month,DSL,Yes
33,18,Two year,Fiber optic,No
16,50,Two year,Fiber optic,Yes
38,10,Two year,No,No
14,11,Two year,DSL,No
36,69,One year,No,No
23,57,Two year,Fiber optic,No
66,38,Month-to-month,DSL,No
2,106,One year,DSL,Yes
65,19,Two year,Fiber optic,Yes
67,67,Month-to-month,Fiber optic,Yes
52,69,One year,Fiber optic,No
62,113,One year,Fiber optic,Yes
23,30,Two year,Fiber optic,No
26,37,One year,DSL,No
68,84,Month-to-month,Fiber optic,No
55,43,One year,DSL,No
6,17,Month-to-month,DSL,Yes
35,68,One year,Fiber optic,No
22,95,Two year,Fiber optic,Yes
43,81,Month-to-month,DSL,Yes
15,58,One year,Fiber optic,Yes
60,88,One year,Fiber optic,No
12,26,One year,Fiber optic,No
49,69,Month-to-month,No,No
42,96,Month-to-month,DSL,No
38,97,Month-to-month,No,Yes
45,54,Two year,Fiber optic,No
35,92,Two year,No,Yes
30,78,Month-to-month,Fiber optic,No
30,41,One year,No,No
6,53,Two year,Fiber optic,No
67,74,Month-to-month,No,No
7,96,One year,No,Yes
52,110,Two year,No,Yes
14,17,One year,DSL,No
15,86,One year,No,Yes
21,81,One year,DSL,Yes
35,96,One year,Fiber optic,No
66,52,Two year,No,Yes
2,10,Two year,Fiber optic,Yes
35,118,Two year,Fiber optic,Yes
20,60,Month-to-month,No,No
